,Province/State,Lat,Long,GRP
0,Anhui,31.8257,117.2264,47712
1,Beijing,40.1824,116.4142,140211
2,Chongqing,30.0572,107.874,65933
3,Fujian,26.0789,117.9874,91197
4,Gansu,36.0611,103.8343,31336
5,Guangdong,23.3417,113.4244,86412
6,Guangxi,23.8298,108.7881,41489
7,Guizhou,26.8154,106.8748,41244
8,Hainan,19.1959,109.7453,51955
9,Hebei,38.0428,114.5149,47772
10,Heilongjiang,47.861999999999995,127.7615,43274
11,Henan,33.882020000000004,113.61399999999999,50152
12,Hubei,30.9756,112.2707,66616
13,Hunan,27.6104,111.7088,52949
14,Inner Mongolia,44.0935,113.9448,68302
15,Jiangsu,32.9711,119.455,115168
16,Jiangxi,27.614,115.7221,47434
17,Jilin,43.6661,126.1923,55611
18,Liaoning,41.2956,122.6085,58008
19,Ningxia,37.2692,106.1655,54094
20,Qinghai,35.7452,95.9956,47689
21,Shandong,36.3427,118.1498,76267
22,Shanghai,31.201999999999998,121.4491,134982
23,Sichuan,30.6171,102.7103,48883
24,Tianjin,39.3054,117.323,120711
25,Tibet,31.6927,88.0924,43398
26,Xinjiang,41.1129,85.2401,49475
27,Yunnan,24.974,101.48700000000001,37136
28,Zhejiang,29.1832,120.0934,98643
