F2,Number of Records,"areas, 1 February 2020"
Confirmed Cases,1,Province/Region/City
7153,1,Hubei
599,1,Zhejiang
520,1,Guangdong
422,1,Henan
389,1,Hunan
297,1,Anhui
286,1,Jiangxi
238,1,Chongqing
207,1,Sichuan
202,1,Jiangsu
202,1,Shandong
156,1,Beijing
153,1,Shanghai
144,1,Fujian
101,1,Shaanxi
100,1,Guangxi
96,1,Hebei
91,1,Yunnan
80,1,Heilongjiang
60,1,Liaoning
57,1,Hainan
47,1,Shanxi
35,1,Gansu
34,1,Tianjin
29,1,Guizhou
26,1,Ningxia
23,1,Inner Mongolia
18,1,Xinjiang
17,1,Jilin
13,1,Hong Kong SAR
10,1,Taipei
8,1,Qinghai
7,1,Macau SAR
1,1,Xizang
11821,1,Total
