F1,F2,Number of Records
Hubei,11177,1
Zhejiang,724,1
Guangdong,683,1
Henan,566,1
Hunan,521,1
Anhui,408,1
Jiangxi,391,1
Chongqing,300,1
Jiangsu,271,1
Sichuan,254,1
Shandong,246,1
Beijing,212,1
Shanghai,193,1
Fujian,179,1
Shaanxi,128,1
Guangxi,127,1
Heilongjiang,118,1
Hebei,113,1
Yunnan,109,1
Liaoning,70,1
Hainan,70,1
Shanxi,66,1
Gansu,51,1
Tianjin,49,1
Guizhou,46,1
Inner Mongolia,33,1
Jilin,31,1
Ningxia,31,1
Xinjiang,24,1
Hong Kong Sar,15,1
Qinghai,13,1
Taipei,10,1
Macao Sar,8,1
Xizang,1,1
,17238,1
Total,,1
"ERRATUM: Please note, due to a transposition","error, several numbers in the table above were incorrectly",1
