"China, 9 February 2020",F2,Number of Records
Province/Region/City,Confirmed Cases,1
Hubei,27 100,1
Guangdong,1120,1
Zhejiang,1075,1
Henan,1033,1
Hunan,838,1
Anhui,779,1
Jiangxi,740,1
Jiangsu,468,1
Chongqing,446,1
Shandong,435,1
Sichuan,386,1
Beijing,326,1
Heilongjiang,307,1
Shanghai,292,1
Fujian,250,1
Shaanxi,208,1
Hebei,206,1
Guangxi,195,1
Yunnan,140,1
Hainan,128,1
Shanxi,115,1
Liaoning,105,1
Guizhou,96,1
Tianjin,88,1
Gansu,81,1
Jilin,78,1
Inner Mongolia,54,1
Ningxia,45,1
Xinjiang,45,1
Hong Kong SAR,26,1
Qinghai,18,1
Taipei and environs,17,1
Macao SAR,10,1
Xizang,1,1
Total,37 251,1
