12 February 2020,F2,F3,F4,F5,Number of Records
1,,,Suspect,,1
Province/Region/City,"Population (in 10,000s)",Confirmed Cases,2,Total Deaths,1
,,,Cases,,1
Hubei,5917,33366,11295,1068,1
Guangdong,11346,1219,135,1,1
Zhejiang,5737,1131,263,0,1
Henan,9605,1135,538,8,1
Hunan,6899,946,135,2,1
Anhui,6324,889,79,4,1
Jiangxi,4648,844,155,1,1
Jiangsu,8051,543,62,0,1
Chongqing,3102,505,428,3,1
Shandong,10047,497,71,1,1
Sichuan,8341,436,432,1,1
Heilongjiang,3773,378,171,8,1
Beijing,2154,352,218,3,1
Shanghai,2424,306,177,1,1
Fujian,3941,272,74,0,1
Hebei,7556,251,43,2,1
Shaanxi,3864,225,367,0,1
Guangxi,4926,222,248,1,1
Yunnan,4830,154,89,0,1
Hainan,934,145,206,3,1
Shanxi,3718,124,65,0,1
Guizhou,3600,131,53,1,1
Liaoning,4359,111,287,0,1
Tianjin,1560,106,328,2,1
Gansu,2637,86,18,2,1
Jilin,2704,83,57,1,1
Inner Mongolia,2534,60,11,0,1
Xinjiang,2487,59,31,0,1
Ningxia,688,58,31,0,1
Hong Kong SAR,745,49,0,1,1
Qinghai,603,18,0,0,1
Taipei and environs,2359,18,0,0,1
Macao SAR,66,10,0,0,1
Xizang,344,1,0,0,1
Total,142823,44730,16067,1114,1
China Statistical Yearbook - 2019,,,,,1
