13 February 2020*,F2,F3,Number of Records
1,,,1
Province/Region/City,"Population (in 10,000s)",Confirmed Cases,1
Hubei,5917,34874,1
Guangdong,11346,1241,1
Zhejiang,5737,1145,1
Henan,9605,1169,1
Hunan,6899,968,1
Anhui,6324,910,1
Jiangxi,4648,872,1
Jiangsu,8051,570,1
Chongqing,3102,518,1
Shandong,10047,506,1
Sichuan,8341,451,1
Heilongjiang,3773,395,1
Beijing,2154,366,1
Shanghai,2424,313,1
Fujian,3941,279,1
Hebei,7556,265,1
Shaanxi,3864,229,1
Guangxi,4926,222,1
Yunnan,4830,155,1
Hainan,934,157,1
Shanxi,3718,126,1
Guizhou,3600,135,1
Liaoning,4359,116,1
Tianjin,1560,112,1
Gansu,2637,87,1
Jilin,2704,84,1
Inner Mongolia,2534,61,1
Xinjiang,2487,63,1
Ningxia,688,64,1
Hong Kong SAR,745,50,1
Qinghai,603,18,1
Taipei and environs,2359,18,1
Macao SAR,66,10,1
Xizang,344,1,1
Total,142823,46550,1
China Statistical Yearbook - 20,19,,1
National Bureau of Statistics of,"China, 1 October 2019",,1
