Clinically 1,Clinically,F11,F2,F7,Lab- 1,Lab-,Number of Records,Region/,Suspected,Total 1,Total
,,Deaths,"(10,000s)",Deaths,,,1,,,,
diagnosed,diagnosed,,,,confirmed,confirmed,1,City,cases,cases,cases
15 384,3095,1318,5917,116,36 602,1728,1,Hubei,1154,51 986,4823
-,-,2,11 346,0,1261,20,1,Guangdong,8,1261,20
-,-,11,9605,1,1184,15,1,Henan,207,1184,15
-,-,0,5737,0,1155,10,1,Zhejiang,22,1155,10
-,-,2,6899,0,988,20,1,Hunan,53,988,20
-,-,6,6324,1,934,24,1,Anhui,16,934,24
-,-,1,4648,0,900,28,1,Jiangxi,43,900,28
-,-,0,8051,0,593,23,1,Jiangsu,14,593,23
-,-,4,3102,1,529,11,1,Chongqing,138,529,11
-,-,2,10 047,0,519,13,1,Shandong,37,519,13
-,-,1,8341,0,463,12,1,Sichuan,77,463,12
-,-,11,3773,2,418,23,1,Heilongjiang,35,418,23
-,-,3,2154,0,372,6,1,Beijing,54,372,6
-,-,1,2424,0,318,5,1,Shanghai,81,318,5
-,-,3,7556,0,283,18,1,Hebei,12,283,18
-,-,0,3941,0,281,2,1,Fujian,23,281,2
-,-,0,3864,0,230,1,1,Shaanxi,37,230,1
-,-,2,4926,0,226,4,1,Guangxi,79,226,4
-,-,0,4830,0,162,7,1,Yunnan,29,162,7
-,-,4,934,0,157,0,1,Hainan,32,157,0
-,-,1,3600,0,140,5,1,Guizhou,16,140,5
-,-,0,3718,0,126,0,1,Shanxi,24,126,0
-,-,3,1560,0,119,7,1,Tianjin,172,119,7
-,-,1,4359,0,117,1,1,Liaoning,66,117,1
-,-,2,2637,0,90,3,1,Gansu,0,90,3
-,-,1,2704,0,86,2,1,Jilin,10,86,2
-,-,0,688,0,67,3,1,Ningxia,5,67,3
-,-,1,2487,0,65,2,1,Xinjiang,5,65,2
-,-,0,2534,0,63,2,1,Inner Mongolia,1,63,2
-,-,1,745,0,53,3,1,Hong Kong Sar,0,53,3
-,-,0,603,0,18,0,1,Qinghai,0,18,0
-,-,0,2359,0,18,0,1,Taipei and environs,0,18,0
-,-,0,66,0,10,0,1,Macao Sar,0,10,0
-,-,0,344,0,1,0,1,Xizang,0,1,0
15 384,3095,1381,142 823,121,48 548,1998,1,Totals,2450,63 932,5093
