Clinically 1,Clinically,F11,F2,F7,Laboratory 1,Laboratory,Number of Records,Region/,Suspected,Total 1,Total
,,Deaths,"(10,000s)",Deaths,,,1,,,,
diagnosed,diagnosed,,,,confirmed,confirmed,1,City,cases,cases,cases
16522,1138,1457,5917,139,37884,1282,1,Hubei,1216,54406,2420
-,-,2,11346,0,1294,33,1,Guangdong,9,1294,33
-,-,13,9605,2,1212,28,1,Henan,153,1212,28
-,-,0,5737,0,1162,7,1,Zhejiang,23,1162,7
-,-,2,6899,0,1001,13,1,Hunan,50,1001,13
-,-,6,6324,0,950,16,1,Anhui,13,950,16
-,-,1,4648,0,913,13,1,Jiangxi,21,913,13
-,-,0,8051,0,604,11,1,Jiangsu,3,604,11
-,-,5,3102,1,537,8,1,Chongqing,98,537,8
-,-,2,10047,0,530,11,1,Shandong,27,530,11
-,-,1,8341,0,470,7,1,Sichuan,72,470,7
-,-,11,3773,0,425,7,1,Heilongjiang,48,425,7
-,-,4,2154,1,375,3,1,Beijing,51,375,3
-,-,1,2424,0,326,8,1,Shanghai,87,326,8
-,-,3,7556,0,291,8,1,Hebei,8,291,8
-,-,0,3941,0,285,4,1,Fujian,6,285,4
-,-,2,4926,0,235,9,1,Guangxi,44,235,9
-,-,0,3864,0,232,2,1,Shaanxi,37,232,2
-,-,0,4830,0,168,6,1,Yunnan,39,168,6
-,-,4,934,0,162,5,1,Hainan,36,162,5
-,-,1,3600,0,143,3,1,Guizhou,4,143,3
-,-,0,3718,0,127,1,1,Shanxi,12,127,1
-,-,3,1560,0,120,1,1,Tianjin,128,120,1
-,-,1,4359,0,119,2,1,Liaoning,66,119,2
-,-,2,2637,0,90,0,1,Gansu,4,90,0
-,-,1,2704,0,88,2,1,Jilin,8,88,2
-,-,0,688,0,70,3,1,Ningxia,3,70,3
-,-,1,2487,0,70,5,1,Xinjiang,4,70,5
-,-,0,2534,0,68,5,1,Inner Mongolia,7,68,5
-,-,1,745,0,56,3,1,Hong Kong Sar,0,56,3
-,-,0,2359,0,18,0,1,Taipei and environs,0,18,0
-,-,0,603,0,18,0,1,Qinghai,0,18,0
-,-,0,66,0,10,0,1,Macao Sar,0,10,0
-,-,0,344,0,1,0,1,Xizang,0,1,0
16522,1138,1524,142823,143,50054,1506,1,Total,2277,66576,2644
