F1,F3,F4,F5,F6,F7,Number of Records,Population
Region/,Confirmed,Suspected,,,,1,
,,,,Confirmed,,1,"(10,000s)"
City,cases,cases,Deaths,,Deaths,1,
,,,,cases,,1,
Hubei,349,880,108,62031,2029,1,5917
Guangdong,1,1,0,1332,5,1,11346
Henan,4,66,0,1265,19,1,9605
Zhejiang,2,6,0,1175,0,1,5737
Hunan,2,5,0,1010,4,1,6899
Anhui,1,0,0,987,6,1,6324
Jiangxi,1,0,0,934,1,1,4648
Jiangsu,0,1,0,631,0,1,8051
Chongqing,5,45,0,560,5,1,3102
Shandong,2,10,1,546,4,1,10047
Sichuan,6,21,0,520,3,1,8341
Heilongjiang,6,4,0,476,12,1,3773
Beijing,2,25,0,395,4,1,2154
Shanghai,0,56,1,333,2,1,2424
Hebei,1,0,1,307,5,1,7556
Fujian,0,0,1,293,1,1,3941
Guangxi,1,17,0,245,2,1,4926
Shaanxi,3,8,1,245,1,1,3864
Yunnan,0,21,1,172,1,1,4830
Hainan,5,16,0,168,4,1,934
Guizhou,0,2,0,146,2,1,3600
Shanxi,0,1,0,131,0,1,3718
Tianjin,2,57,0,130,3,1,1560
Liaoning,0,26,0,121,1,1,4359
Gansu,1,9,0,91,1,1,2637
Jilin,0,0,0,91,2,1,2704
Xinjiang,0,0,0,76,1,1,2487
Inner Mongolia,0,0,0,75,0,1,2534
Ningxia,0,0,0,71,0,1,688
Hong Kong SAR,3,0,1,65,2,1,745
Taipei and environs,2,0,0,24,1,1,2359
Qinghai,0,0,0,18,0,1,603
Macao SAR,0,0,0,10,0,1,66
Xizang,0,0,0,1,0,1,344
Total,399,1277,115,74675,2121,1,142823
